NSW145 	# Georgy Samoilov
NSW146		# Georgy Samoilov
WALL508	# Georgy Samoilov
ICEWLL		# Craneo
WLDEAD04	# Craneo
TOMB1	# Georgy Samoilov
TOMB2	# Georgy Samoilov
TOMB3	# Georgy Samoilov
TOMB4	# Georgy Samoilov
WOODBOOK	; Craneo
CRTREA		; Craneo
CRTREB		; Craneo
CRWWD		; Craneo
CRLEAF1		; Craneo
CRLEAF2		; Craneo
CRWBRIX		; Craneo
CRWSTON		; Craneo
CRFLRWL		; Craneo
SKY1      ; Stilgar
SKY2      ; Stilgar
SKY3      ; Craneo
PATA00    ; Stilgar (NEW SIZE)
PATA01    ; Stilgar (NEW SIZE)
PATA02    ; Stilgar (NEW SIZE)
PATA03    ; Stilgar (NEW SIZE)
PATA04    ; Stilgar (NEW SIZE)
PATA05    ; Stilgar (NEW SIZE)
PATA06    ; Stilgar (NEW SIZE)
WALL00    ; Stilgar
WALL01    ; Stilgar
WALL02    ; Stilgar
WALL04    ; Stilgar
WALL05    ; Stilgar
WALL06    ; Stilgar
WALL07    ; Stilgar
WALL08    ; Stilgar
WALL10    ; Stilgar
WALL12    ; Esselfortium (Modded)
WALL14    ; Stilgar
WALL15    ; Stilgar
WALL16    ; Stilgar
WALL17    ; Stilgar
WALL18    ; Stilgar
WALL19    ; Stilgar
WALL20    ; Stilgar
WALL21    ; Stilgar
WALL24    ; Stilgar
WALL26    ; Stilgar
WALL25    ; Stilgar
WALL27    ; Stilgar
WALL28    ; Stilgar
WALL30    ; Stilgar
WALL32    ; Stilgar
WALL34    ; Stilgar
WALL35    ; Stilgar
WALL37    ; Stilgar
WALL38    ; Stilgar
WALL40    ; Stilgar
WALL41    ; Stilgar
WALL42    ; Stilgar
WALL44    ; Stilgar
WALL45    ; Stilgar
WALL46    ; Stilgar
WALL49    ; Stilgar
WALL50    ; Esselfortium (Modded)
WALL51    ; Stilgar
WALL52    ; Stilgar
WALL53    ; Stilgar
WALL54    ; Stilgar
WALL55    ; Stilgar
WALL56    ; Stilgar
